actor_name,actor_id
Tim Robbins,1
Morgan Freeman,2
Bob Gunton,3
William Sadler,4
Marlon Brando,5
Al Pacino,6
James Caan,7
Diane Keaton,8
Christian Bale,9
Heath Ledger,10
Aaron Eckhart,11
Michael Caine,12
Robert De Niro,13
Robert Duvall,14
Henry Fonda,15
Lee J. Cobb,16
Martin Balsam,17
John Fiedler,18
Elijah Wood,19
Viggo Mortensen,20
Ian McKellen,21
Orlando Bloom,22
John Travolta,23
Uma Thurman,24
Samuel L. Jackson,25
Bruce Willis,26
Liam Neeson,27
Ralph Fiennes,28
Ben Kingsley,29
Caroline Goodall,30
Leonardo DiCaprio,31
Joseph Gordon-Levitt,32
Elliot Page,33
Ken Watanabe,34
Brad Pitt,35
Edward Norton,36
Meat Loaf,37
Zach Grenier,38
Sean Bean,39
Tom Hanks,40
Robin Wright,41
Gary Sinise,42
Sally Field,43
Clint Eastwood,44
Eli Wallach,45
Lee Van Cleef,46
Aldo Giuffrè,47
Lilly Wachowski,48
Keanu Reeves,49
Laurence Fishburne,50
Carrie-Anne Moss,51
Ray Liotta,52
Joe Pesci,53
Lorraine Bracco,54
Mark Hamill,55
Harrison Ford,56
Carrie Fisher,57
Billy Dee Williams,58
Jack Nicholson,59
Louise Fletcher,60
Michael Berryman,61
Peter Brocco,62
Lin-Manuel Miranda,63
Phillipa Soo,64
Leslie Odom Jr.,65
Renée Elise Goldsberry,66
Kang-ho Song,67
Lee Sun-kyun,68
Cho Yeo-jeong,69
Choi Woo-sik,70
Suriya,71
Madhavan,72
Paresh Rawal,73
Aparna Balamurali,74
Matthew McConaughey,75
Anne Hathaway,76
Jessica Chastain,77
Mackenzie Foy,78
Kátia Lund,79
Alexandre Rodrigues,80
Leandro Firmino,81
Matheus Nachtergaele,82
Daveigh Chase,83
Suzanne Pleshette,84
Miyu Irino,85
Rumi Hiiragi,86
Matt Damon,87
Tom Sizemore,88
Edward Burns,89
Michael Clarke Duncan,90
David Morse,91
Bonnie Hunt,92
Roberto Benigni,93
Nicoletta Braschi,94
Giorgio Cantarini,95
Giustino Durano,96
Kevin Spacey,97
Andrew Kevin Walker,98
Jodie Foster,99
Anthony Hopkins,100
Lawrence A. Bonney,101
Kasi Lemmons,102
Alec Guinness,103
Tatsuya Nakadai,104
Akira Ishihama,105
Shima Iwashita,106
Tetsurô Tanba,107
Toshirô Mifune,108
Takashi Shimura,109
Keiko Tsushima,110
Yukiko Shimazaki,111
James Stewart,112
Donna Reed,113
Lionel Barrymore,114
Thomas Mitchell,115
Joaquin Phoenix,116
Zazie Beetz,117
Frances Conroy,118
Miles Teller,119
J.K. Simmons,120
Melissa Benoist,121
Paul Reiser,122
Éric Toledano,123
François Cluzet,124
Omar Sy,125
Anne Le Ny,126
Hugh Jackman,127
Scarlett Johansson,128
Mark Wahlberg,129
Adrien Brody,130
Thomas Kretschmann,131
Frank Finlay,132
Emilia Fox,133
Russell Crowe,134
Connie Nielsen,135
Oliver Reed,136
Edward Furlong,137
Beverly D'Angelo,138
Jennifer Lien,139
Gabriel Byrne,140
Chazz Palminteri,141
Stephen Baldwin,142
Jean Reno,143
Gary Oldman,144
Natalie Portman,145
Danny Aiello,146
Rob Minkoff,147
Matthew Broderick,148
Jeremy Irons,149
James Earl Jones,150
Arnold Schwarzenegger,151
Linda Hamilton,152
Robert Patrick,153
Philippe Noiret,154
Enzo Cannavale,155
Antonella Attili,156
Isa Danieli,157
Tsutomu Tatsumi,158
Ayano Shiraishi,159
Akemi Yamaguchi,160
Yoshiko Shinohara,161
Michael J. Fox,162
Christopher Lloyd,163
Lea Thompson,164
Crispin Glover,165
Charles Bronson,166
Claudia Cardinale,167
Jason Robards,168
Anthony Perkins,169
Janet Leigh,170
Vera Miles,171
John Gavin,172
Humphrey Bogart,173
Ingrid Bergman,174
Paul Henreid,175
Claude Rains,176
Charles Chaplin,177
Paulette Goddard,178
Henry Bergman,179
Tiny Sandford,180
Virginia Cherrill,181
Florence Lee,182
Harry Myers,183
Zain Al Rafeea,184
Yordanos Shiferaw,185
Boluwatife Treasure Bankole,186
Kawsar Al Haddad,187
Erdem Can,188
Çetin Tekindor,189
Ismail Hacioglu,190
Kyung-jin Lee,191
Pushkar,192
Vijay Sethupathi,193
Shraddha Srinath,194
Ryûnosuke Kamiki,195
Mone Kamishiraishi,196
Ryô Narita,197
Aoi Yûki,198
Aamir Khan,199
Sakshi Tanwar,200
Fatima Sana Shaikh,201
Sanya Malhotra,202
